stat,value
n_users,1892.0
n_artists,17632.0
n_interactions,92834.0
sparsity_pct,99.72
plays_gini,0.893
top100_play_share_pct,43.7
max_plays,352698.0
median_plays,260.0
duplicate_pairs,0.0
nonpositive_weights,0.0
n_tag_vocabulary,11946.0
n_tags_applied,9749.0
n_tag_assignments,186479.0
n_tagged_artists,12523.0
untagged_artists,5109.0
untagged_pct,29.0
median_tags_per_artist,5.0
n_friend_edges,25434.0
avg_friends_per_user,13.4
max_friends,119.0
users_with_friends_pct,100.0
friend_jaccard,0.1026
random_jaccard,0.024
friend_overlap_ratio,4.3
